FlightNumber,Airline,DelayMinutes,DepartureDateTime,ArrivalDateTime,FlightDuration,DepartureHour
AA1234,American Airlines,15.0,2023-09-01 08:30:00,2023-09-01 10:45:00,0 days 02:15:00,2023-09-01 08:30:00
DL5678,Delta,5.0,2023-09-01 13:15:00,2023-09-01 15:30:00,0 days 02:15:00,2023-09-01 13:15:00
UA9101,United Airlines,25.0,2023-09-01 17:00:00,2023-09-01 19:15:00,0 days 02:15:00,2023-09-01 17:00:00
DL5678,Delta,22.5,2023-09-02 14:00:00,2023-09-02 16:10:00,0 days 02:10:00,2023-09-02 14:00:00
UA9101,United Airlines,20.0,2023-09-02 17:00:00,2023-09-02 19:15:00,0 days 02:15:00,2023-09-02 17:00:00
AA1234,American Airlines,60.0,2023-09-02 20:30:00,2023-09-03 10:45:00,0 days 14:15:00,2023-09-02 20:30:00
DL5678,Delta,10.0,2023-09-03 13:00:00,2023-09-03 15:30:00,0 days 02:30:00,2023-09-03 13:00:00
UA9101,United Airlines,22.5,2023-09-03 15:00:00,2023-09-03 17:20:00,0 days 02:20:00,2023-09-03 15:00:00
AA1234,American Airlines,15.0,2023-09-03 08:30:00,2023-09-03 10:00:00,0 days 01:30:00,2023-09-03 08:30:00
DL5678,Delta,25.0,2023-09-04 12:30:00,2023-09-04 14:40:00,0 days 02:10:00,2023-09-04 12:30:00
UA9101,United Airlines,45.0,2023-09-04 19:00:00,2023-09-04 21:15:00,0 days 02:15:00,2023-09-04 19:00:00
